Acc_x	Acc_y	Acc_z	Time	Total secs	
0.0429688	0.378906	0.0888672	04:03:57.759	14637	
0.349854	0.368896	1.78198	04:03:57.800	14637	
0.2229	-0.443848	1.03296	04:03:57.840	14637	
-0.0878906	-0.180908	-0.0129395	04:03:57.880	14637	
0.392822	0.277832	0.36377	04:03:57.920	14637	
0.655762	0.0307617	2.03198	04:03:57.960	14637	
0.375	-0.343994	1.18799	04:03:58.000	14638	
-0.0739746	0.0678711	-0.153809	04:03:58.039	14638	
0.423828	0.187988	0.748779	04:03:58.080	14638	
0.635986	0.187988	1.77197	04:03:58.120	14638	
0.60376	0.227783	1.20386	04:03:58.160	14638	
0.0688477	0.380859	-0.0559082	04:03:58.200	14638	
0.380859	0.0739746	0.933838	04:03:58.240	14638	
0.473877	-0.11792	2.16187	04:03:58.280	14638	
0.265869	0.0827637	0.941895	04:03:58.320	14638	
0.125977	0.135986	-0.0429688	04:03:58.360	14638	
0.380859	0.00585938	1.08789	04:03:58.400	14638	
0.384766	0.0429688	1.84277	04:03:58.440	14638	
0.197998	0.434814	0.707764	04:03:58.479	14638	
0.00292969	0.288818	0.0249023	04:03:58.520	14638	
0.359863	-0.36084	1.36987	04:03:58.560	14638	
0.668945	-0.0439453	1.91284	04:03:58.600	14638	
0.278809	0.505859	0.387939	04:03:58.640	14638	
0.0529785	0.200928	0.102783	04:03:58.680	14638	
-0.162842	-0.21582	0.964844	04:03:58.720	14638	
0.153809	0.209961	1.71777	04:03:58.759	14638	
0.280762	-0.0249023	0.149902	04:03:58.800	14638	
-0.0859375	0.163818	0.217773	04:03:58.840	14638	
-0.265869	-0.0839844	1	04:03:58.880	14638	
0.724854	0.36377	1.95679	04:03:58.920	14638	
0.405762	-0.187988	0.218994	04:03:58.960	14638	
-0.343994	0.0629883	0.25	04:03:59.000	14639	
-0.343994	0.0939941	0.968994	04:03:59.039	14639	
0.655762	0.218994	1.53198	04:03:59.080	14639	
0.0307617	-0.187988	0.75	04:03:59.120	14639	
-0.0939941	0.343994	-0.125	04:03:59.160	14639	
0.312988	0.280762	0.155762	04:03:59.200	14639	
0.375	-0.5	1.53198	04:03:59.240	14639	
0.0629883	0.0307617	1.31299	04:03:59.280	14639	
0.0307617	0.280762	-0.125	04:03:59.320	14639	
0	-0.187988	0.125	04:03:59.360	14639	
0.375	0.0629883	0.625	04:03:59.400	14639	
0.375	-0.0307617	1.68799	04:03:59.440	14639	
0.405762	-0.218994	1.28198	04:03:59.479	14639	
0	0.781982	-0.0629883	04:03:59.520	14639	
0.0939941	0.0307617	0.593994	04:03:59.560	14639	
0.437988	-0.280762	1.34399	04:03:59.600	14639	
0.343994	-0.0307617	1.5	04:03:59.640	14639	
0.0307617	-0.0307617	0.468994	04:03:59.680	14639	
0.187988	-0.218994	0.562988	04:03:59.720	14639	
0.155762	0.343994	1.125	04:03:59.759	14639	
0.437988	-0.125	1.53198	04:03:59.800	14639	
0.280762	0.0307617	1.28198	04:03:59.840	14639	
0.218994	-0.125	0.937988	04:03:59.880	14639	
0.25	-0.25	0.781982	04:03:59.920	14639	
0.25	0.0629883	0.937988	04:03:59.960	14639	
0.312988	-0.0939941	1.15698	04:04:00.000	14640	
0.279785	-0.125977	1.05981	04:04:00.040	14640	
0.25293	-0.133789	0.984863	04:04:00.080	14640	
0.292969	0.109863	0.85376	04:04:00.120	14640	
0.35498	-0.00976562	1.18677	04:04:00.160	14640	
0.287842	0	1.34399	04:04:00.200	14640	
0.35498	0.182861	1.19385	04:04:00.240	14640	
0.172852	-0.0927734	0.60498	04:04:00.280	14640	
0.264893	-0.119873	0.612793	04:04:00.320	14640	
0.00878906	0.0998535	1.39697	04:04:00.360	14640	
0.105957	-0.0129395	1.6189	04:04:00.400	14640	
0.119873	0.188965	0.875	04:04:00.440	14640	
-0.0349121	0.153809	0.134766	04:04:00.480	14640	
0.224854	-0.219971	0.833984	04:04:00.520	14640	
0.375	-0.0927734	1.72876	04:04:00.560	14640	
0.0559082	-0.0439453	1.1499	04:04:00.600	14640	
-0.115967	-0.0739746	0.342773	04:04:00.640	14640	
0.224854	0.0649414	0.643799	04:04:00.680	14640	
0.375	0.192871	1.4519	04:04:00.720	14640	
0.445801	-0.065918	1.42676	04:04:00.760	14640	
0.0688477	0.293945	0.218994	04:04:00.800	14640	
0.230957	0.0129395	0.22583	04:04:00.840	14640	
0.390869	-0.282959	1.16187	04:04:00.880	14640	
0.319824	0.060791	1.94287	04:04:00.920	14640	
-0.0939941	-0.218994	0.530762	04:04:00.960	14640	
0	-0.218994	0.468994	04:04:01.000	14641	
0.0307617	0.25	1.25	04:04:01.040	14641	
0.5	0.468994	1.93799	04:04:01.080	14641	
0.0939941	-0.405762	1.06299	04:04:01.120	14641	
-0.125	0.405762	-0.187988	04:04:01.160	14641	
0.155762	0.0307617	0.468994	04:04:01.200	14641	
0.405762	-0.5	1.25	04:04:01.240	14641	
0.155762	0.0939941	1.25	04:04:01.280	14641	
-0.0307617	-0.343994	0.187988	04:04:01.320	14641	
0.0939941	-0.125	0.437988	04:04:01.360	14641	
0.0629883	0.125	1	04:04:01.400	14641	
0.468994	0.0629883	1.59399	04:04:01.440	14641	
0.343994	-0.0939941	1.09399	04:04:01.480	14641	
0.125	0.437988	-0.0939941	04:04:01.520	14641	
0.25	-0.0939941	0.437988	04:04:01.560	14641	
0.0939941	-0.312988	1.75098	04:04:01.600	14641	
0.468994	0.25	1.68799	04:04:01.640	14641	
-0.0307617	0.0939941	0.375	04:04:01.680	14641	
-0.187988	-0.218994	0.343994	04:04:01.720	14641	
0.0939941	-0.125	1.15698	04:04:01.760	14641	
0.405762	0	1.5	04:04:01.800	14641	
-0.0307617	0	0.687988	04:04:01.840	14641	
-0.0629883	0.405762	0	04:04:01.879	14641	
0.530762	0.312988	0.468994	04:04:01.920	14641	
